Text,Location
Potsdamer Platz,"Berlin, Germany"
Classic Remise Berlin,"Berlin, Germany"
Treptower Park,"Berlin, Germany"
Museum fuer Naturkunde Berlin,"Berlin, Germany"
Die Hackeschen Hoefe,"Berlin, Germany"
Berlin Story Bunker,"Berlin, Germany"
Berlin Central Station,"Berlin, Germany"
Alexanderplatz,"Berlin, Germany"
WINDOBONA Indoor Skydiving Berlin,"Berlin, Germany"
Mitte,"Berlin, Germany"
House of the Wannsee Conference,"Berlin, Germany"
Panoramapunkt,"Berlin, Germany"
Kurfürstendamm,"Berlin, Germany"
CHAMÄLEON Theater,"Berlin, Germany"
Mauerpark Flea Market,"Berlin, Germany"
Museumsdienst Berlin,"Berlin, Germany"
Tierpark Berlin,"Berlin, Germany"
Mall of Berlin,"Berlin, Germany"
Prenzlauer Berg,"Berlin, Germany"
Alte Nationalgalerie,"Berlin, Germany"
Mauerpark,"Berlin, Germany"
Urban Nation,"Berlin, Germany"
Botanischen Gartens und Botanischen Museums Berlin,"Berlin, Germany"
Kreuzberg,"Berlin, Germany"
Berlin Dungeon,"Berlin, Germany"
Nicholas Quarter,"Berlin, Germany"
"Gleis 17, Grunewald","Berlin, Germany"
Bode Museum,"Berlin, Germany"
Hackescher Markt,"Berlin, Germany"
Madame Tussauds Berlin,"Berlin, Germany"
Savignyplatz,"Berlin, Germany"
German-Russian Museum,"Berlin, Germany"
Museum Nikolai Church,"Berlin, Germany"
SEA LIFE Berlin,"Berlin, Germany"
Rotes Rathaus,"Berlin, Germany"
Sowjetisches Ehrenmal Treptow,"Berlin, Germany"
Komische Oper Berlin @Schillertheater,"Berlin, Germany"
Liebermann-Villa am Wannsee,"Berlin, Germany"
GDR Watch Tower,"Berlin, Germany"
Schöneberg,"Berlin, Germany"
Dark Matter Berlin,"Berlin, Germany"
Oranienburgerstrasse,"Berlin, Germany"
Tipi am Kanzleramt,"Berlin, Germany"
Volkspark Friedrichshain,"Berlin, Germany"
Berlin Museum of Medical History of the Charite,"Berlin, Germany"
Illuseum Berlin,"Berlin, Germany"
Deutschlandmuseum,"Berlin, Germany"
The Wall Museum,"Berlin, Germany"
BMW Berlin Marathon,"Berlin, Germany"
St. Mary's Church,"Berlin, Germany"
Kunstgewerbemuseum,"Berlin, Germany"
Altstadt Spandau,"Berlin, Germany"
Marheineke Markthalle,"Berlin, Germany"
Franzoesischer Dom,"Berlin, Germany"
Anne Frank Zentrum,"Berlin, Germany"
Grosse Orangerie Schloss Charlottenburg,"Berlin, Germany"
Science Center Spectrum,"Berlin, Germany"
Kollwitzplatz,"Berlin, Germany"
Neptunbrunnen,"Berlin, Germany"
Hamburger Museum,"Berlin, Germany"
Karl-Marx-Allee,"Berlin, Germany"
Grunewald Forest,"Berlin, Germany"
Brohan Museum,"Berlin, Germany"
Brücke Museum,"Berlin, Germany"
Kabarett Theater DISTEL,"Berlin, Germany"
Museum of Musical Instruments (Musikinstrumenten Museum),"Berlin, Germany"
Schlachtensee,"Berlin, Germany"
Alte Försterei,"Berlin, Germany"
David Hasselhoff Museum,"Berlin, Germany"
C/O Berlin,"Berlin, Germany"
"Ancient Worlds - Greeks, Etruscans and Romans","Berlin, Germany"
Berlin Icebar,"Berlin, Germany"
Futurium,"Berlin, Germany"
Cathedral of St. Hedwig - Domgemeinde St. Hedwig,"Berlin, Germany"
Museum for Communication,"Berlin, Germany"
Antique Jewellery Berlin,"Berlin, Germany"
Three Girls One Boy Statue,"Berlin, Germany"
HEY ALEX,"Berlin, Germany"
Strandbar Mitte,"Berlin, Germany"
Preußenpark,"Berlin, Germany"
Dorotheenstadt Cemetery,"Berlin, Germany"
Viktoriapark,"Berlin, Germany"
Marx-Engels-Forum,"Berlin, Germany"
Weissensee Jewish Cemetery,"Berlin, Germany"
Schloss Kopenick,"Berlin, Germany"
BeachMitte,"Berlin, Germany"
Ramones Museum Berlin,"Berlin, Germany"
Humboldt Forum,"Berlin, Germany"
Trains To Life Trains To Death,"Berlin, Germany"
Berlin Sculpture (Broken Chain),"Berlin, Germany"
KitKatKlub,"Berlin, Germany"
SANDEMANs NEW Europe - Berlin,"Berlin, Germany"
Flugsimulator Berlin,"Berlin, Germany"
Schiller Monument,"Berlin, Germany"
Immersive Gamebox Alexanderplatz,"Berlin, Germany"
Rausch Schokoladenhaus,"Berlin, Germany"
Cosmic Comedy Club Berlin,"Berlin, Germany"
Ritter Sport Bunte Schokowelt,"Berlin, Germany"
Schlossbrücke,"Berlin, Germany"
Vabali Spa,"Berlin, Germany"
Escape Berlin,"Berlin, Germany"
VR Nation - 4D VR Arcade,"Berlin, Germany"
Final Escape Berlin,"Berlin, Germany"
