Text,Location
State Opera,"Prague, Czech Republic"
National Theater,"Prague, Czech Republic"
The Strahov Monastic Brewery,"Prague, Czech Republic"
Museum of Communism,"Prague, Czech Republic"
Židovské Muzeum v Praze,"Prague, Czech Republic"
The Estates Theatre,"Prague, Czech Republic"
Kampa Park,"Prague, Czech Republic"
Sex Machines Museum,"Prague, Czech Republic"
Wenceslas Square (Václavské náměstí),"Prague, Czech Republic"
Prašná brána,"Prague, Czech Republic"
Vysehrad Park,"Prague, Czech Republic"
Army Museum Zizkov,"Prague, Czech Republic"
Mozart Dinner Opera,"Prague, Czech Republic"
Strahov Monastery,"Prague, Czech Republic"
Palladium Praha,"Prague, Czech Republic"
The Vrtba Garden,"Prague, Czech Republic"
Rudolfinum,"Prague, Czech Republic"
Loreta Praha,"Prague, Czech Republic"
Dancing House,"Prague, Czech Republic"
Museum of Senses,"Prague, Czech Republic"
Cold War Museum,"Prague, Czech Republic"
Waldstein Palace,"Prague, Czech Republic"
Starý židovský Hřbitov,"Prague, Czech Republic"
Jerusalem Synagogue,"Prague, Czech Republic"
Convent of St Agnes of Bohemia - National Gallery Prague,"Prague, Czech Republic"
Franz Kafka Muzeum,"Prague, Czech Republic"
Prague Botanical Garden,"Prague, Czech Republic"
Náplavka Farmer's Market,"Prague, Czech Republic"
"Pinkas Synagogue, Jewish Museum in Prague","Prague, Czech Republic"
Story of Prague Museum,"Prague, Czech Republic"
Municipal Library of Prague,"Prague, Czech Republic"
Basilica of St Peter and St Paul,"Prague, Czech Republic"
Divoka Sarka,"Prague, Czech Republic"
Czech Beer Museum,"Prague, Czech Republic"
Republic Square (Namesti Republiky),"Prague, Czech Republic"
České Muzeum Hudby,"Prague, Czech Republic"
Daytrip,"Prague, Czech Republic"
Golden Lane,"Prague, Czech Republic"
Kbely Aviation Museum,"Prague, Czech Republic"
St. George's Basilica,"Prague, Czech Republic"
Nerudova Street,"Prague, Czech Republic"
Museum of Fantastic Illusions,"Prague, Czech Republic"
Slivovitz Museum - R. Jelínek,"Prague, Czech Republic"
Troja Chateau,"Prague, Czech Republic"
Štefánik Observatory,"Prague, Czech Republic"
Jan Hus Monument,"Prague, Czech Republic"
Prague Airport Transfers,"Prague, Czech Republic"
Man Hanging Out,"Prague, Czech Republic"
National Monument at Vitkov,"Prague, Czech Republic"
