Text,Location
‪Diamond Head State Monument,"Honolulu, Hawaii"
USS Arizona Memorial,"Honolulu, Hawaii"
Pearl Harbor National Memorial,"Honolulu, Hawaii"
Iolani Palace,"Honolulu, Hawaii"
Battleship Missouri Memorial,"Honolulu, Hawaii"
Hanauma Bay Nature Preserve,"Honolulu, Hawaii"
Koko Crater Railway Trail,"Honolulu, Hawaii"
Waikiki Beach,"Honolulu, Hawaii"
Manoa Falls,"Honolulu, Hawaii"
Bishop Museum,"Honolulu, Hawaii"
Makapuu Lighthouse Trail,"Honolulu, Hawaii"
National Memorial Cemetery of the Pacific,"Honolulu, Hawaii"
USS Bowfin Submarine Museum & Park,"Honolulu, Hawaii"
Shangri La,"Honolulu, Hawaii"
US Army Museum of Hawaii,"Honolulu, Hawaii"
Ala Moana Center,"Honolulu, Hawaii"
Pearl Harbor Aviation Museum,"Honolulu, Hawaii"
Aloha Stadium Swap Meet & Marketplace,"Honolulu, Hawaii"
Honolulu Museum of Art,"Honolulu, Hawaii"
International Market Place,"Honolulu, Hawaii"
Tantalus Lookout Puu Ualakaa State Park,"Honolulu, Hawaii"
Lyon Arboretum,"Honolulu, Hawaii"
Diamond Head Crater,"Honolulu, Hawaii"
Fort DeRussy Beach Park,"Honolulu, Hawaii"
Waikiki Beach Walk,"Honolulu, Hawaii"
Saint Augustine by-the-Sea,"Honolulu, Hawaii"
Ala Moana Beach Park,"Honolulu, Hawaii"
Statue of Duke Kahanamoku,"Honolulu, Hawaii"
Honolulu Zoo,"Honolulu, Hawaii"
Kapiolani Park,"Honolulu, Hawaii"
Royal Hawaiian Center,"Honolulu, Hawaii"
Magic Island,"Honolulu, Hawaii"
Foster Botanical Gardens,"Honolulu, Hawaii"
Puu Ualakaa State Park,"Honolulu, Hawaii"
Queen Emma Summer Palace,"Honolulu, Hawaii"
Don Quijote,"Honolulu, Hawaii"
Waikiki Aquarium,"Honolulu, Hawaii"
Saturday Farmer's Market KCC,"Honolulu, Hawaii"
Kuhio Beach,"Honolulu, Hawaii"
King Kamehameha Statue,"Honolulu, Hawaii"
Kaimana Beach,"Honolulu, Hawaii"
Foodland Ala Moana,"Honolulu, Hawaii"
Honolulu's Police Department Museum,"Honolulu, Hawaii"
Kuliouou Ridge Hike,"Honolulu, Hawaii"
USS Oklahoma Memorial,"Honolulu, Hawaii"
Spitting Cave of Portlock,"Honolulu, Hawaii"
Sans Souci Beach Park,"Honolulu, Hawaii"
Hawaii State Art Museum,"Honolulu, Hawaii"
Hawaiian Mission Houses Historic Site and Archives,"Honolulu, Hawaii"
Koko Crater Botanical Garden,"Honolulu, Hawaii"
The Magical Mystery Show at Hilton Waikiki Beach,"Honolulu, Hawaii"
Aloha Pearl Harbor Tours,"Honolulu, Hawaii"
Manoa Falls Trail,"Honolulu, Hawaii"
Lulumahu Waterfall,"Honolulu, Hawaii"
Duke Kahanamoku Lagoon,"Honolulu, Hawaii"
Moanalua Gardens,"Honolulu, Hawaii"
China Walls,"Honolulu, Hawaii"
Saint Andrew's Cathedral,"Honolulu, Hawaii"
Diamond Head Crater Hike,"Honolulu, Hawaii"
Kahala Beach,"Honolulu, Hawaii"
Mu Ryang Sa Buddhist Temple,"Honolulu, Hawaii"
Rock-A-Hula,"Honolulu, Hawaii"
Wiliwilinui Hiking Trail,"Honolulu, Hawaii"
USS Utah Memorial,"Honolulu, Hawaii"
Waialae Beach Park,"Honolulu, Hawaii"
Kaka'ako Waterfront Park,"Honolulu, Hawaii"
Diamond Head Beach Park,"Honolulu, Hawaii"
U.S. Army Schofield Barracks,"Honolulu, Hawaii"
Queen's Beach,"Honolulu, Hawaii"
Cathedral Basilica of Our Lady of Peace,"Honolulu, Hawaii"
Ala Wai Canal,"Honolulu, Hawaii"
Judiciary Building,"Honolulu, Hawaii"
Kawehewehe,"Honolulu, Hawaii"
